gene_id	BDF1_FPKM_rep1	BDF1_FPKM_rep2	ICR_FPKM_rep1	ICR_FPKM_rep2	ddY_FPKM_rep1	ddY_FPKM_rep2
1700003E24Rik	0.0	0.0	0.0	0.0	0.07	0.0
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003G13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003G18Rik	0.0	0.0	0.0	0.0	0.05	0.0
1700003H04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003M02Rik	2.26	2.36	2.61	2.59	7.7	4.96
1700003M07Rik	0.0	0.0	0.0	0.02	0.02	0.0
1700003P14Rik	0.14	0.08	0.03	0.03	0.0	0.0
1700006A11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006E09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006F04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006H21Rik	0.0	0.0	0.06	0.0	0.0	0.06
1700007B14Rik	0.0	0.0	0.01	0.0	0.02	0.0
1700007F19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700007G11Rik	0.03	0.0	0.04	0.15	0.0	0.0
1700007J10Rik	0.28	0.13	0.22	0.13	0.18	0.05
1700007K09Rik	0.0	0.0	0.0	0.04	0.0	0.0
1700007K13Rik	0.0	0.0	0.42	0.2	0.07	0.11
1700007L15Rik	0.89	1.26	1.2	1.5	0.55	0.97
1700007P06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008C04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008J07Rik	0.4	0.44	0.54	0.63	0.39	0.47
1700008K24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	0.0	0.13	0.0	0.0	0.03	0.06
1700008P02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009C05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009N14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010B08Rik	0.03	0.0	0.0	0.06	0.0	0.0
1700010D01Rik	6.38	10.73	3.61	4.7	5.35	4.54
1700010I02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010I14Rik	6.71	7.88	3.19	4.31	8.51	7.85
1700010J16Rik	0.0	0.0	0.04	0.0	0.0	0.0
1700010K23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011A15Rik	1.67	2.94	1.91	1.89	2.7	1.36
1700011B04Rik	0.0	0.0	0.0	0.05	0.0	0.0
1700011C11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011E24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011H14Rik	0.0	0.0	0.2	0.08	0.41	0.72
1700011I03Rik	0.0	0.0	0.0	0.0	0.03	0.03
1700011L22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011M02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012A03Rik	0.1	0.43	0.42	0.42	0.44	0.25
1700012B07Rik	0.06	0.38	0.43	0.91	0.82	0.55
1700012B09Rik	0.16	0.52	0.47	0.3	0.49	0.33
1700012C14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012D01Rik	0.04	0.13	0.05	0.08	0.04	0.0
1700012D14Rik	0.09	0.3	0.36	0.34	0.25	0.05
1700012D16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012H19Rik	0.29	0.0	0.0	0.45	0.0	0.36
1700012I11Rik	0.02	0.22	0.09	0.12	0.12	0.08
1700012L04Rik	0.06	0.0	0.0	0.0	0.0	0.0
1700012P22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013D24Rik	0.06	0.0	0.0	0.0	0.0	0.0
1700013F07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013H16Rik	0.0	0.0	0.0	0.02	0.0	0.0
1700015E13Rik	0.0	0.0	0.0	0.08	0.13	0.27
1700015F17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	0.11	0.91	0.0	0.12	0.0	0.0
1700016C15Rik	0.0	0.0	0.0	0.04	0.0	0.0
1700016D06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016G22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016H13Rik	1.37	1.13	2.12	1.24	1.35	1.77
1700016K19Rik	0.84	0.64	0.86	1.03	2.86	2.62
1700016L04Rik	0.0	0.04	0.07	0.03	0.0	0.1
1700016L21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016P04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017B05Rik	12.13	13.13	12.38	12.46	14.16	11.43
1700017D01Rik	0.0	0.03	0.0	0.0	0.0	0.0
1700017G19Rik	0.0	0.0	0.0	0.0	0.0	0.01
1700017J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017L05Rik	0.0	0.0	0.0	0.12	0.0	0.0
1700017N19Rik	0.0	0.0	0.0	0.08	0.01	0.15
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018B08Rik	5.09	4.86	5.72	6.19	5.67	6.41
1700018B24Rik	6.85	9.13	9.58	10.58	7.56	9.67
1700018C11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018F24Rik	0.0	0.0	0.0	0.0	0.02	0.0
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018L02Rik	0.03	0.12	0.09	0.13	0.09	0.09
1700019A02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019B03Rik	0.05	0.09	0.24	0.29	0.19	0.19
1700019B21Rik	0.0	0.0	0.07	0.05	0.11	0.06
1700019C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	1.69	2.01	1.98	2.81	1.94	2.06
1700019E08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019G17Rik	0.05	0.06	0.09	0.15	0.12	0.3
1700019G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019L03Rik	0.01	0.0	0.02	0.0	0.0	0.0
1700019M22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019N19Rik	0.0	0.0	0.0	0.06	0.0	0.0
1700019O17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020A23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020D05Rik	0.02	0.04	0.09	0.1	1.35	2.6
1700020D14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020G17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020I14Rik	3.06	3.1	2.08	2.35	1.88	2.02
1700020L24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020M21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N01Rik	0.0	0.04	0.0	0.05	0.0	0.0
1700020N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700021F05Rik	12.29	13.94	14.83	13.16	15.16	16.57
1700021F07Rik	2.88	3.32	2.91	1.38	3.93	0.74
1700021K19Rik	106.69	101.33	98.97	89.78	103.0	100.83
1700021N21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022A21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022A22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022E09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022H01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022H16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022I11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700023C21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700023F02Rik	0.14	0.0	0.0	0.0	0.0	0.0
1700023F06Rik	0.0	0.09	0.0	0.0	0.02	0.0
1700024B18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024F13Rik	0.0	0.07	0.11	0.13	0.0	0.05
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024I08Rik	0.0	0.0	0.0	0.04	0.0	0.0
1700024N05Rik	0.0	0.06	0.1	0.0	0.13	0.0
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024P16Rik	13.14	13.98	30.78	38.31	16.69	19.02
1700025B11Rik	0.0	0.0	0.0	0.12	0.31	0.0
1700025C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025F22Rik	0.31	0.0	0.0	0.05	0.0	0.0
1700025F24Rik	0.11	0.09	0.04	0.03	0.09	0.03
1700025G04Rik	2.21	2.42	1.46	1.78	1.31	1.3
1700025J12Rik	0.22	0.44	1.08	0.39	0.5	0.38
1700025K24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025M24Rik	0.0	0.0	0.0	0.0	0.0	0.26
1700025N23Rik	0.0	0.0	0.0	0.03	0.0	0.0
1700026D08Rik	0.0	0.0	0.09	0.09	0.0	0.02
1700026D11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026F02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026J14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026L06Rik	0.0	0.0	0.0	0.0	0.0	0.05
1700027A15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027F06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027F09Rik	0.0	0.0	0.04	0.07	0.0	0.0
1700027H10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027I24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028B04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028D13Rik	0.0	0.0	0.0	0.12	0.0	0.07
1700028E10Rik	0.5	0.46	0.45	0.44	0.41	0.33
1700028I16Rik	3.34	4.54	3.29	4.84	2.69	3.32
1700028J19Rik	0.53	0.68	1.02	1.08	1.22	1.21
1700028K03Rik	4.18	4.7	3.9	5.13	4.43	4.73
1700028M03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028P14Rik	0.06	0.05	0.07	0.03	0.13	0.1
1700028P15Rik	0.03	0.0	0.11	0.06	0.0	0.03
1700029B22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029F12Rik	0.69	1.24	0.42	0.41	0.12	0.03
1700029H14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029I15Rik	0.0	0.21	0.0	0.0	0.0	0.0
1700029J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029J07Rik	0.28	0.47	0.54	0.41	0.64	0.49
1700029M20Rik	0.01	0.0	0.0	0.0	0.0	0.0
1700029N11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029P11Rik	2.57	2.53	0.45	0.99	1.09	0.82
1700030A11Rik	0.72	0.45	0.8	0.32	0.09	0.0
1700030C10Rik	2.05	2.23	0.18	0.29	1.82	2.26
1700030F04Rik	0.09	0.0	0.0	0.0	0.0	0.0
1700030F18Rik	3.43	3.57	2.81	2.1	2.53	2.5
1700030J22Rik	13.64	13.28	12.16	12.22	12.5	13.67
1700030K09Rik	22.37	22.49	22.31	33.24	21.32	20.83
1700030L20Rik	0.02	0.0	0.0	0.0	0.0	0.0
1700030M09Rik	0.0	0.0	0.0	0.03	0.0	0.0
1700030N03Rik	0.0	0.0	0.14	0.12	0.35	0.13
1700030O20Rik	1.84	3.59	1.71	1.51	1.83	1.25
1700031A10Rik	0.0	0.0	0.0	0.0	0.14	0.05
1700031F05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700031M16Rik	0.27	0.05	0.32	0.1	0.34	0.22
1700031P21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034E13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034H15Rik	0.07	0.06	0.14	0.11	0.09	0.05
1700034I23Rik	0.0	0.0	0.0	0.0	0.0	0.01
1700034J05Rik	0.0	0.02	0.0	0.05	0.06	0.01
1700034K08Rik	2.51	3.22	4.26	4.05	5.27	6.01
1700034O15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034P13Rik	3.88	3.79	3.8	4.02	3.22	3.8
1700036G14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700037C18Rik	0.0	0.14	0.03	0.0	0.07	0.03
1700037H04Rik	1.44	1.49	1.18	1.66	0.92	1.92
1700039E15Rik	1.27	1.26	1.27	1.37	1.83	1.63
1700039E22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700040L02Rik	0.02	0.0	0.0	0.0	0.02	0.0
1700041A01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700041C23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700041M19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042G07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042G15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042O10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700044C05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700044K03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700045H11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700046C09Rik	0.05	0.0	0.0	0.0	0.0	0.13
1700047A11Rik	0.05	0.0	0.0	0.05	0.0	0.0
1700047E10Rik	0.0	0.09	0.0	0.0	0.0	0.0
1700047G03Rik	0.06	0.1	0.0	0.13	0.0	0.0
1700047I17Rik2	13.55	16.63	6.75	6.87	6.86	7.47
1700047L14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700047M11Rik	0.81	1.11	0.21	0.64	0.22	0.24
1700048M11Rik	0.62	1.28	1.41	0.86	0.32	0.76
1700048O20Rik	0.75	1.26	0.99	1.09	1.06	1.09
1700049E15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700049E22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700049G17Rik	0.05	0.08	0.03	0.1	0.03	0.06
1700049L16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700051A21Rik	0.0	0.0	0.0	0.0	0.02	0.0
1700052I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700052K11Rik	0.24	0.22	0.2	0.2	0.16	0.16
1700054A03Rik	0.0	0.0	0.09	0.0	0.0	0.0
1700054K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700054M17Rik	0.41	0.14	0.0	0.0	0.0	0.0
1700055C04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700056E22Rik	5.52	6.1	5.96	5.0	8.59	8.51
1700057G04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700057H15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700057H21Rik	0.45	0.75	0.0	0.0	0.0	0.08
1700060C16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700060C20Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700061F12Rik	0.62	0.68	0.58	0.62	0.62	0.63
1700061G19Rik	0.02	0.05	0.05	0.04	0.05	0.03
1700061I17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700061J23Rik	0.11	0.29	0.0	0.13	0.07	0.14
1700063A18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700063D05Rik	0.0	0.0	0.0	0.0	0.0	0.05
1700063O14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700064J06Rik	0.0	0.0	0.15	0.0	0.0	0.0
1700064M15Rik	0.04	0.0	0.0	0.14	0.05	0.05
1700065D16Rik	0.55	0.0	0.58	0.41	0.3	0.39
1700065I16Rik	0.0	0.0	0.08	0.0	0.0	0.04
1700065J11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065J18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065L07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065O20Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066B17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066B19Rik	0.0	0.06	0.04	0.04	0.01	0.01
1700066J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066M21Rik	18.51	19.41	14.42	18.88	13.68	15.98
1700066N21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066O22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700067G17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700067K01Rik	31.79	34.1	44.01	39.28	37.24	31.82
1700067P10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700069L16Rik	0.0	0.0	0.0	0.04	0.0	0.0
1700069P05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700071K01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700071M16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072B07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072O05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700073E17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700074H08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700074P13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080E11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080O16Rik	0.11	0.0	0.06	0.03	0.1	0.0
1700081H04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084C01Rik	0.0	0.0	0.02	0.0	0.0	0.0
1700084D21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084E18Rik	0.09	0.72	0.57	0.58	0.19	0.42
1700084F23Rik	0.45	0.47	0.09	0.0	0.05	0.11
1700084J12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084M14Rik	0.0	0.09	0.0	0.0	0.0	0.0
1700085C21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700086L19Rik	0.24	0.05	0.28	0.37	0.55	0.04
1700086O06Rik	0.18	0.87	0.09	0.25	0.1	0.15
1700088E04Rik	0.31	0.47	0.36	0.3	0.37	0.28
1700091H14Rik	0.02	0.0	0.0	0.0	0.0	0.0
1700092C02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092C10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092E19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092K14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092M07Rik	0.23	0.19	0.15	0.13	0.77	0.41
1700093K21Rik	5.75	7.38	2.4	2.24	3.1	3.14
1700094D03Rik	0.07	0.15	0.1	0.1	0.1	0.14
1700094J05Rik	0.45	0.52	0.55	0.31	0.64	0.41
1700094M24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700095A21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700095B10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700095J12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700096J18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700096K18Rik	0.29	0.17	0.23	0.64	0.28	0.21
1700096P03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700097N02Rik	3.28	3.18	0.12	1.13	0.36	0.32
1700099I09Rik	0.19	0.0	0.11	0.16	0.0	0.0
1700100I10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700100L14Rik	0.0	0.07	0.05	0.0	0.0	0.24
1700101E01Rik	0.68	0.55	0.95	0.82	0.98	0.96
1700101I11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700101O22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700102H20Rik	0.1	0.0	0.0	0.0	0.0	0.0
1700102P08Rik	0.06	0.1	0.27	0.31	0.09	0.05
1700104L18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700105P06Rik	0.0	0.09	0.0	0.0	0.0	0.07
1700106J16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700108F19Rik	0.0	0.09	0.0	0.0	0.0	0.0
1700108J01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700109G14Rik	0.0	0.0	0.0	0.03	0.0	0.0
1700109G15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700109H08Rik	0.0	0.0	0.0	0.04	0.0	0.13
1700109I08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700109K24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700110C19Rik	0.0	0.0	0.05	0.16	0.0	0.0
1700110I01Rik	0.0	0.0	0.0	0.0	0.0	0.01
1700110I07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700110K17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700111N16Rik	0.0	0.0	0.03	0.0	0.04	0.0
