gene_id	BDF1_TPM_avr	ICR_TPM_avr	ddY_TPM_avr	BDF1_FPKM_avr	ICR_FPKM_avr	ddY_FPKM_avr
1500012K07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500015A07Rik	6.57	7.5649999999999995	4.890000000000001	2.5300000000000002	3.01	1.895
1500015L24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500015O10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500017E21Rik	0.085	0.08	0.135	0.035	0.030000000000000002	0.05
1500026H17Rik	0.10500000000000001	0.16999999999999998	0.075	0.04	0.065	0.03
1600002D24Rik	2.4699999999999998	4.625	4.445	0.95	1.8299999999999998	1.73
1600002H07Rik	21.705	23.240000000000002	20.985	8.36	9.23	8.145
1600002K03Rik	6.125	5.01	3.245	2.375	1.98	1.255
1600010M07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600012H06Rik	0.11499999999999999	0.275	0.3	0.045	0.11	0.12
1600014C10Rik	0.09	0.26	0.425	0.035	0.10500000000000001	0.165
1600014C23Rik	0.08	0.19	0.0	0.03	0.07500000000000001	0.0
1600014K23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600015I10Rik	0.0	0.01	0.0	0.0	0.005	0.0
1600019K03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600020E01Rik	0.88	0.69	0.31	0.345	0.275	0.12
1600023N17Rik	0.0	0.04	0.0	0.0	0.015	0.0
1600025M17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600027J07Rik	0.545	0.235	0.0	0.205	0.09	0.0
1600029I14Rik	0.0	0.0	0.04	0.0	0.0	0.015
1600029O15Rik	0.015	0.0	0.055	0.005	0.0	0.02
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	0.0	0.07	0.02	0.0	0.025	0.01
1700001D01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001F09Rik	0.165	0.315	0.0	0.065	0.13	0.0
1700001G01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001G11Rik	0.43	0.9550000000000001	0.44999999999999996	0.16	0.38	0.16999999999999998
1700001G17Rik	0.47	0.52	0.74	0.18	0.20500000000000002	0.28500000000000003
1700001J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001J11Rik	0.01	0.0	0.0	0.005	0.0	0.0
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001K23Rik	0.0	0.095	0.0	0.0	0.04	0.0
1700001L05Rik	40.94	40.209999999999994	38.91	15.705	15.95	15.095
1700001L19Rik	1.255	3.24	3.415	0.485	1.295	1.325
1700001O22Rik	0.03	0.065	0.155	0.01	0.025	0.06
1700001P01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003C15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003D09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003E16Rik	0.0	0.015	0.0	0.0	0.005	0.0
1700003E24Rik	0.0	0.0	0.095	0.0	0.0	0.035
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003G13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003G18Rik	0.0	0.0	0.065	0.0	0.0	0.025
1700003H04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003M02Rik	6.01	6.555	16.35	2.3099999999999996	2.5999999999999996	6.33
1700003M07Rik	0.0	0.025	0.03	0.0	0.01	0.01
1700003P14Rik	0.28500000000000003	0.07	0.0	0.11000000000000001	0.03	0.0
1700006A11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006E09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006F04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700006H21Rik	0.0	0.08	0.07	0.0	0.03	0.03
1700007B14Rik	0.0	0.015	0.03	0.0	0.005	0.01
1700007F19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700007G11Rik	0.035	0.24	0.0	0.015	0.095	0.0
1700007J10Rik	0.545	0.44000000000000006	0.305	0.20500000000000002	0.175	0.11499999999999999
1700007K09Rik	0.0	0.055	0.0	0.0	0.02	0.0
1700007K13Rik	0.0	0.785	0.235	0.0	0.31	0.09
1700007L15Rik	2.7800000000000002	3.4000000000000004	1.945	1.075	1.35	0.76
1700007P06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008C04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008J07Rik	1.0950000000000002	1.475	1.1099999999999999	0.42000000000000004	0.585	0.43
1700008K24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700008O03Rik	0.165	0.0	0.12	0.065	0.0	0.045
1700008P02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009C05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700009N14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010B08Rik	0.035	0.07	0.0	0.015	0.03	0.0
1700010D01Rik	22.119999999999997	10.45	12.754999999999999	8.555	4.155	4.945
1700010I02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700010I14Rik	18.96	9.425	21.08	7.295	3.75	8.18
1700010J16Rik	0.0	0.045	0.0	0.0	0.02	0.0
1700010K23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011A15Rik	5.970000000000001	4.79	5.245	2.3049999999999997	1.9	2.0300000000000002
1700011B04Rik	0.0	0.06	0.0	0.0	0.025	0.0
1700011C11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011E24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011H14Rik	0.0	0.36	1.455	0.0	0.14	0.565
1700011I03Rik	0.0	0.0	0.07500000000000001	0.0	0.0	0.03
1700011L22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700011M02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012A03Rik	0.685	1.0550000000000002	0.8999999999999999	0.265	0.42	0.345
1700012B07Rik	0.5599999999999999	1.675	1.7599999999999998	0.22	0.67	0.685
1700012B09Rik	0.865	0.975	1.06	0.34	0.385	0.41000000000000003
1700012C14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012D01Rik	0.21000000000000002	0.16999999999999998	0.055	0.085	0.065	0.02
1700012D14Rik	0.495	0.885	0.4	0.195	0.35	0.15
1700012D16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700012H19Rik	0.395	0.56	0.455	0.145	0.225	0.18
1700012I11Rik	0.30500000000000005	0.26	0.265	0.12	0.105	0.1
1700012L04Rik	0.08	0.0	0.0	0.03	0.0	0.0
1700012P22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013D24Rik	0.08	0.0	0.0	0.03	0.0	0.0
1700013F07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700013H16Rik	0.0	0.025	0.0	0.0	0.01	0.0
1700015E13Rik	0.0	0.1	0.51	0.0	0.04	0.2
1700015F17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700015G11Rik	1.295	0.155	0.0	0.51	0.06	0.0
1700016C15Rik	0.0	0.045	0.0	0.0	0.02	0.0
1700016D06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016G22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016H13Rik	3.2649999999999997	4.26	4.01	1.25	1.6800000000000002	1.56
1700016K19Rik	1.94	2.38	7.0600000000000005	0.74	0.9450000000000001	2.74
1700016L04Rik	0.055	0.125	0.12	0.02	0.05	0.05
1700016L21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700016P04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017B05Rik	32.84	31.299999999999997	33.005	12.63	12.420000000000002	12.795
1700017D01Rik	0.04	0.0	0.0	0.015	0.0	0.0
1700017G19Rik	0.0	0.0	0.015	0.0	0.0	0.005
1700017J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700017L05Rik	0.0	0.145	0.0	0.0	0.06	0.0
1700017N19Rik	0.0	0.095	0.21	0.0	0.04	0.08
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018B08Rik	12.969999999999999	14.995000000000001	15.549999999999999	4.975	5.955	6.04
1700018B24Rik	20.725	25.38	22.16	7.99	10.08	8.615
1700018C11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018F24Rik	0.0	0.0	0.03	0.0	0.0	0.01
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700018L02Rik	0.19	0.28	0.22999999999999998	0.075	0.11	0.09
1700019A02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019B03Rik	0.18	0.665	0.485	0.07	0.265	0.19
1700019B21Rik	0.0	0.15000000000000002	0.21999999999999997	0.0	0.060000000000000005	0.08499999999999999
1700019C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	4.8100000000000005	6.015000000000001	5.145	1.8499999999999999	2.395	2.0
1700019E08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019G17Rik	0.15000000000000002	0.305	0.54	0.055	0.12	0.21
1700019G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019L03Rik	0.015	0.02	0.0	0.005	0.01	0.0
1700019M22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700019N19Rik	0.0	0.07	0.0	0.0	0.03	0.0
1700019O17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020A23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020D05Rik	0.075	0.235	5.07	0.03	0.095	1.975
1700020D14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020G17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020I14Rik	8.015	5.57	5.03	3.08	2.215	1.95
1700020L24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020M21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N01Rik	0.045	0.055	0.0	0.02	0.025	0.0
1700020N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700020N18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700021F05Rik	34.09	35.305	40.845	13.114999999999998	13.995000000000001	15.865
1700021F07Rik	8.055	5.4350000000000005	6.0600000000000005	3.0999999999999996	2.145	2.335
1700021K19Rik	270.95	238.025	262.57	104.00999999999999	94.375	101.91499999999999
1700021N21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022A21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022A22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022E09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022H01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022H16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700022I11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700023C21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700023F02Rik	0.19	0.0	0.0	0.07	0.0	0.0
1700023F06Rik	0.115	0.0	0.025	0.045	0.0	0.01
1700024B18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024F13Rik	0.085	0.30500000000000005	0.065	0.035	0.12	0.025
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024I08Rik	0.0	0.045	0.0	0.0	0.02	0.0
1700024N05Rik	0.08	0.135	0.17	0.03	0.05	0.065
1700024P04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700024P16Rik	35.26	86.88499999999999	45.965	13.56	34.545	17.855
1700025B11Rik	0.0	0.15	0.41	0.0	0.06	0.155
1700025C18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025F22Rik	0.41	0.06	0.0	0.155	0.025	0.0
1700025F24Rik	0.255	0.08	0.16	0.1	0.035	0.06
1700025G04Rik	6.029999999999999	4.08	3.3600000000000003	2.315	1.62	1.3050000000000002
1700025J12Rik	0.8599999999999999	1.8649999999999998	1.1400000000000001	0.33	0.7350000000000001	0.44
1700025K24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700025M24Rik	0.0	0.0	0.325	0.0	0.0	0.13
1700025N23Rik	0.0	0.035	0.0	0.0	0.015	0.0
1700026D08Rik	0.0	0.225	0.025	0.0	0.09	0.01
1700026D11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026F02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026J14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700026L06Rik	0.0	0.0	0.065	0.0	0.0	0.025
1700027A15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027F06Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027F09Rik	0.0	0.145	0.0	0.0	0.05500000000000001	0.0
1700027H10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027I24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700027J07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028B04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028D13Rik	0.0	0.15	0.085	0.0	0.06	0.035
1700028E10Rik	1.245	1.13	0.96	0.48	0.445	0.37
1700028I16Rik	10.219999999999999	10.215	7.735	3.94	4.0649999999999995	3.005
1700028J19Rik	1.575	2.645	3.125	0.605	1.05	1.2149999999999999
1700028K03Rik	11.55	11.355	11.785	4.4399999999999995	4.515	4.58
1700028M03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700028P14Rik	0.135	0.13	0.29500000000000004	0.055	0.05	0.115
1700028P15Rik	0.04	0.21999999999999997	0.045	0.015	0.08499999999999999	0.015
1700029B22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029F12Rik	2.495	1.0550000000000002	0.195	0.965	0.415	0.075
1700029H14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029I15Rik	0.265	0.0	0.0	0.105	0.0	0.0
1700029J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029J07Rik	0.97	1.1949999999999998	1.455	0.375	0.475	0.565
1700029M20Rik	0.01	0.0	0.0	0.005	0.0	0.0
1700029N11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700029P11Rik	6.645	1.8050000000000002	2.475	2.55	0.72	0.9550000000000001
1700030A11Rik	1.535	1.4249999999999998	0.12	0.585	0.56	0.045
1700030C10Rik	5.5600000000000005	0.585	5.255	2.1399999999999997	0.235	2.04
1700030F04Rik	0.125	0.0	0.0	0.045	0.0	0.0
1700030F18Rik	9.105	6.21	6.48	3.5	2.455	2.5149999999999997
1700030J22Rik	35.055	30.73	33.69	13.46	12.190000000000001	13.085
1700030K09Rik	58.394999999999996	69.755	54.295	22.43	27.775	21.075
1700030L20Rik	0.03	0.0	0.0	0.01	0.0	0.0
1700030M09Rik	0.0	0.03	0.0	0.0	0.015	0.0
1700030N03Rik	0.0	0.32999999999999996	0.62	0.0	0.13	0.24
1700030O20Rik	7.005	4.055	3.9749999999999996	2.715	1.6099999999999999	1.54
1700031A10Rik	0.0	0.0	0.25	0.0	0.0	0.095
1700031F05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700031M16Rik	0.42	0.53	0.72	0.16	0.21000000000000002	0.28
1700031P21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034E13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034H15Rik	0.16999999999999998	0.31	0.18	0.065	0.125	0.07
1700034I23Rik	0.0	0.0	0.015	0.0	0.0	0.005
1700034J05Rik	0.02	0.065	0.09	0.01	0.025	0.034999999999999996
1700034K08Rik	7.43	10.48	14.510000000000002	2.865	4.154999999999999	5.64
1700034O15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700034P13Rik	9.99	9.845	9.035	3.835	3.9099999999999997	3.51
1700036G14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700037C18Rik	0.175	0.035	0.12	0.07	0.015	0.05
1700037H04Rik	3.815	3.5650000000000004	3.6399999999999997	1.4649999999999999	1.42	1.42
1700039E15Rik	3.295	3.325	4.445	1.2650000000000001	1.32	1.73
1700039E22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700040L02Rik	0.025	0.0	0.025	0.01	0.0	0.01
1700041A01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700041C23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700041M19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042G07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042G15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700042O10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700044C05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700044K03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700045H11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700046C09Rik	0.07	0.0	0.165	0.025	0.0	0.065
1700047A11Rik	0.06	0.06	0.0	0.025	0.025	0.0
1700047E10Rik	0.11	0.0	0.0	0.045	0.0	0.0
1700047G03Rik	0.2	0.155	0.0	0.08	0.065	0.0
1700047I17Rik2	39.18	17.17	18.45	15.09	6.8100000000000005	7.165
1700047L14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700047M11Rik	2.485	1.065	0.595	0.9600000000000001	0.425	0.22999999999999998
1700048M11Rik	2.46	2.875	1.39	0.95	1.135	0.54
1700048O20Rik	2.59	2.61	2.7699999999999996	1.005	1.04	1.0750000000000002
1700049E15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700049E22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700049G17Rik	0.17	0.16499999999999998	0.115	0.065	0.065	0.045
1700049L16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700051A21Rik	0.0	0.0	0.025	0.0	0.0	0.01
1700052I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700052K11Rik	0.595	0.495	0.41	0.22999999999999998	0.2	0.16
1700054A03Rik	0.0	0.11	0.0	0.0	0.045	0.0
1700054K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700054M17Rik	0.7150000000000001	0.0	0.0	0.275	0.0	0.0
1700055C04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700056E22Rik	15.1	13.825	22.04	5.81	5.48	8.55
1700057G04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700057H15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700057H21Rik	1.545	0.0	0.1	0.6	0.0	0.04
1700060C16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700060C20Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700061F12Rik	1.69	1.5150000000000001	1.61	0.65	0.6	0.625
1700061G19Rik	0.095	0.125	0.10500000000000001	0.035	0.045	0.04
1700061I17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700061J23Rik	0.52	0.16	0.265	0.19999999999999998	0.065	0.10500000000000001
1700063A18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700063D05Rik	0.0	0.0	0.06	0.0	0.0	0.025
1700063O14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700064J06Rik	0.0	0.19	0.0	0.0	0.075	0.0
1700064M15Rik	0.055	0.175	0.13	0.02	0.07	0.05
1700065D16Rik	0.74	1.255	0.88	0.275	0.495	0.345
1700065I16Rik	0.0	0.105	0.05	0.0	0.04	0.02
1700065J11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065J18Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065L07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700065O20Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066B17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066B19Rik	0.08	0.10500000000000001	0.02	0.03	0.04	0.01
1700066J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066M21Rik	49.325	41.864999999999995	38.16	18.96	16.65	14.83
1700066N21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700066O22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700067G17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700067K01Rik	85.675	105.04499999999999	89.035	32.945	41.644999999999996	34.53
1700067P10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700069L16Rik	0.0	0.05	0.0	0.0	0.02	0.0
1700069P05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700071K01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700071M16Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072B07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072I22Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700072O05Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700073E17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700074H08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700074P13Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080E11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700080O16Rik	0.155	0.11499999999999999	0.13	0.055	0.045	0.05
1700081H04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084C01Rik	0.0	0.025	0.0	0.0	0.01	0.0
1700084D21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084E18Rik	1.0250000000000001	1.46	0.785	0.40499999999999997	0.575	0.305
1700084F23Rik	1.2	0.115	0.2	0.45999999999999996	0.045	0.08
1700084J12Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700084M14Rik	0.115	0.0	0.0	0.045	0.0	0.0
1700085C21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700086L19Rik	0.385	0.815	0.76	0.145	0.325	0.29500000000000004
1700086O06Rik	1.355	0.42	0.315	0.525	0.16999999999999998	0.125
1700088E04Rik	1.005	0.8400000000000001	0.835	0.39	0.32999999999999996	0.325
1700091H14Rik	0.02	0.0	0.0	0.01	0.0	0.0
1700092C02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092C10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092E19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092K14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700092M07Rik	0.54	0.355	1.525	0.21000000000000002	0.14	0.59
1700093K21Rik	17.04	5.845000000000001	8.035	6.5649999999999995	2.3200000000000003	3.12
1700094D03Rik	0.29500000000000004	0.25	0.305	0.11	0.1	0.12000000000000001
1700094J05Rik	1.255	1.08	1.3599999999999999	0.485	0.43000000000000005	0.525
1700094M24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700095A21Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700095B10Rik	0.0	0.0	0.0	0.0	0.0	0.0
