_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-1.7313703868237986,GO:0031267,M1,1,0,GO Molecular Functions,21,small GTPase binding,,-1.7313703868237986,3.958834279118976,3.0000189403661066,20580,281,74,4,5.405405405405405,2.6286419598899315,19387|20909|27277|216190,Rangap1|Stx4a|Golga5|Appl2,0.0,0,3,0,0,-2.9877634515132634,5.280533698255217,
1,-1.7133896440464655,GO:0031256,M1,1,0,GO Cellular Components,20,leading edge membrane,,-1.7133896440464655,5.280533698255217,3.2446275006770033,20580,158,74,3,4.054054054054054,2.2926735577328072,20909|69538|216190,Stx4a|Antxr1|Appl2,0.0,0,3,0,0,-2.9877634515132634,5.280533698255217,
1,-1.620538636672227,GO:0002699,M1,1,0,GO Biological Processes,19,positive regulation of immune effector process,19_GO:0002376 immune system process,-1.620538636672227,3.6593172119487902,2.8061010865441194,20580,304,74,4,5.405405405405405,2.6286419598899315,20909|22042|216190|234311,Stx4a|Tfrc|Appl2|Ddx60,0.0,0,3,0,0,-2.9877634515132634,5.280533698255217,
1,-1.5624171650567384,GO:0051020,M1,1,0,GO Molecular Functions,21,GTPase binding,,-1.5624171650567384,3.509250575496632,2.704639013241149,20580,317,74,4,5.405405405405405,2.6286419598899315,19387|20909|27277|216190,Rangap1|Stx4a|Golga5|Appl2,0.0,0,3,0,0,-2.9877634515132634,5.280533698255217,
1,-1.3924866634802051,GO:0030139,M1,1,0,GO Cellular Components,20,endocytic vesicle,,-1.3924866634802051,3.9541437171768927,2.5910483079708038,20580,211,74,3,4.054054054054054,2.2926735577328072,14725|20909|216190,Lrp2|Stx4a|Appl2,0.0,0,3,0,0,-2.9877634515132634,5.280533698255217,
1,-2.5066464705288807,GO:0009062,M1,1,0,GO Biological Processes,19,fatty acid catabolic process,19_GO:0008152 metabolic process,-2.5066464705288807,10.3003003003003,5.038028970258212,20580,81,74,3,4.054054054054054,2.2926735577328072,14245|15107|56357,Lpin1|Hadh|Ivd,0.0,0,4,1,1,-2.5066464705288807,10.3003003003003,
1,-2.274480165494888,GO:0120162,M1,1,0,GO Biological Processes,19,positive regulation of cold-induced thermogenesis,19_GO:0048518 positive regulation of biological process,-2.274480165494888,8.513513513513514,4.478756440829265,20580,98,74,3,4.054054054054054,2.2926735577328072,14245|15107|216190,Lpin1|Hadh|Appl2,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-2.2262679658099636,GO:0072329,M1,1,0,GO Biological Processes,19,monocarboxylic acid catabolic process,19_GO:0008152 metabolic process,-2.2262679658099636,8.17965023847377,4.3666373108147,20580,102,74,3,4.054054054054054,2.2926735577328072,14245|15107|56357,Lpin1|Hadh|Ivd,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-2.180098659428379,GO:0045833,M1,1,0,GO Biological Processes,19,negative regulation of lipid metabolic process,19_GO:0048519 negative regulation of biological process,-2.180098659428379,7.870984191738909,4.260475276445203,20580,106,74,3,4.054054054054054,2.2926735577328072,14245|216190|244373,Lpin1|Appl2|Erlin2,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-1.8037723905714638,GO:0120161,M1,1,0,GO Biological Processes,19,regulation of cold-induced thermogenesis,19_GO:0032501 multicellular organismal process,-1.8037723905714638,5.714550166604962,3.43421524384189,20580,146,74,3,4.054054054054054,2.2926735577328072,14245|15107|216190,Lpin1|Hadh|Appl2,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-1.575560691576053,GO:0044282,M1,1,0,GO Biological Processes,19,small molecule catabolic process,19_GO:0008152 metabolic process,-1.575560691576053,3.5427784472370454,2.7275758935560224,20580,314,74,4,5.405405405405405,2.6286419598899315,14245|15107|56357|66646,Lpin1|Hadh|Ivd|Rpe,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-1.5068150383831047,GO:0044242,M1,1,0,GO Biological Processes,19,cellular lipid catabolic process,19_GO:0008152 metabolic process,-1.5068150383831047,4.391180654338549,2.8210230231467794,20580,190,74,3,4.054054054054054,2.2926735577328072,14245|15107|56357,Lpin1|Hadh|Ivd,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-1.4615516804307003,GO:0046395,M1,1,0,GO Biological Processes,19,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-1.4615516804307003,4.213759213759214,2.729669380682492,20580,198,74,3,4.054054054054054,2.2926735577328072,14245|15107|56357,Lpin1|Hadh|Ivd,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-1.4505768251353373,GO:0016054,M1,1,0,GO Biological Processes,19,organic acid catabolic process,19_GO:0008152 metabolic process,-1.4505768251353373,4.171621621621622,2.7075831006878106,20580,200,74,3,4.054054054054054,2.2926735577328072,14245|15107|56357,Lpin1|Hadh|Ivd,0.0,0,4,0,0,-2.5066464705288807,10.3003003003003,
1,-2.1715871117279013,GO:0008324,M1,1,0,GO Molecular Functions,21,cation transmembrane transporter activity,,-2.1715871117279013,3.150091839412228,3.2601436733813935,20580,618,74,7,9.45945945945946,3.402035504924576,11984|12788|22042|55991|116914|320508|332396,Atp6v0c|Cnga1|Tfrc|Panx1|Slc19a2|Cachd1|Kcnk18,0.0,0,5,1,1,-2.1715871117279013,3.4228690228690226,
1,-1.7957797836054268,GO:0022890,M1,1,0,GO Molecular Functions,21,inorganic cation transmembrane transporter activity,,-1.7957797836054268,2.953360440086104,2.8282404651241095,20580,565,74,6,8.108108108108109,3.173090815043605,11984|12788|22042|55991|320508|332396,Atp6v0c|Cnga1|Tfrc|Panx1|Cachd1|Kcnk18,0.0,0,5,0,0,-2.1715871117279013,3.4228690228690226,
1,-1.7255403867612673,GO:0006812,M1,1,0,GO Biological Processes,19,cation transport,19_GO:0051179 localization,-1.7255403867612673,2.575075075075075,2.650660029361617,20580,756,74,7,9.45945945945946,3.402035504924576,11984|14725|22042|55991|116914|320508|332396,Atp6v0c|Lrp2|Tfrc|Panx1|Slc19a2|Cachd1|Kcnk18,0.0,0,5,0,0,-2.1715871117279013,3.4228690228690226,
1,-1.5281223878308707,GO:0005261,M1,1,0,GO Molecular Functions,21,cation channel activity,,-1.5281223878308707,3.4228690228690226,2.644801064594114,20580,325,74,4,5.405405405405405,2.6286419598899315,12788|55991|320508|332396,Cnga1|Panx1|Cachd1|Kcnk18,0.0,0,5,0,0,-2.1715871117279013,3.4228690228690226,
1,-1.393218933281581,GO:0015318,M1,1,0,GO Molecular Functions,21,inorganic molecular entity transmembrane transporter activity,,-1.393218933281581,2.3769923769923773,2.2299815294619068,20580,702,74,6,8.108108108108109,3.173090815043605,11984|12788|22042|55991|320508|332396,Atp6v0c|Cnga1|Tfrc|Panx1|Cachd1|Kcnk18,0.0,0,5,0,0,-2.1715871117279013,3.4228690228690226,
1,-2.1020525314830207,GO:0051015,M1,1,0,GO Molecular Functions,21,actin filament binding,,-2.1020525314830207,5.102901066203818,3.65844551983769,20580,218,74,4,5.405405405405405,2.6286419598899315,16796|55991|69538|235431,Lasp1|Panx1|Antxr1|Coro2b,0.0,0,6,1,1,-2.1020525314830207,5.102901066203818,
1,-1.6608359058047726,GO:0003779,M1,1,0,GO Molecular Functions,21,actin binding,,-1.6608359058047726,3.131848064280497,2.728026911419146,20580,444,74,5,6.756756756756757,2.917843321020329,16796|55991|69538|170947|235431,Lasp1|Panx1|Antxr1|Myoz3|Coro2b,0.0,0,6,0,0,-2.1020525314830207,5.102901066203818,
1,-1.6372504688107419,GO:0005925,M1,1,0,GO Cellular Components,20,focal adhesion,,-1.6372504688107419,4.936830321445706,3.0870625188555265,20580,169,74,3,4.054054054054054,2.2926735577328072,16796|235431|396184,Lasp1|Coro2b|Flrt1,0.0,0,6,0,0,-2.1020525314830207,5.102901066203818,
1,-1.5544034903889208,GO:0030055,M1,1,0,GO Cellular Components,20,cell-substrate junction,,-1.5544034903889208,4.584199584199585,2.9175721338351117,20580,182,74,3,4.054054054054054,2.2926735577328072,16796|235431|396184,Lasp1|Coro2b|Flrt1,0.0,0,6,0,0,-2.1020525314830207,5.102901066203818,
1,-1.5184863803709905,GO:0031589,M1,1,0,GO Biological Processes,19,cell-substrate adhesion,19_GO:0022610 biological adhesion,-1.5184863803709905,4.437895342150662,2.844652244109509,20580,188,74,3,4.054054054054054,2.2926735577328072,19944|69538|235431,Rpl29|Antxr1|Coro2b,0.0,0,6,0,0,-2.1020525314830207,5.102901066203818,
1,-2.032527711897519,GO:2000177,M1,1,0,GO Biological Processes,19,regulation of neural precursor cell proliferation,19_GO:0050789 regulation of biological process,-2.032527711897519,6.9527027027027035,3.9286154321626823,20580,120,74,3,4.054054054054054,2.2926735577328072,14725|20674|216190,Lrp2|Sox2|Appl2,0.0,0,7,1,1,-2.032527711897519,6.9527027027027035,
1,-1.6496990755206482,GO:0009725,M1,1,0,GO Biological Processes,19,response to hormone,19_GO:0050896 response to stimulus,-1.6496990755206482,2.7354895879486043,2.613878607831056,20580,610,74,6,8.108108108108109,3.173090815043605,11548|11881|14245|14725|19387|216190,Adra1b|Arsb|Lpin1|Lrp2|Rangap1|Appl2,0.0,0,7,0,0,-2.032527711897519,6.9527027027027035,
1,-1.3288183680922796,GO:0061629,M1,1,0,GO Molecular Functions,21,RNA polymerase II-specific DNA-binding transcription factor binding,,-1.3288183680922796,2.950749157645709,2.29642194374174,20580,377,74,4,5.405405405405405,2.6286419598899315,14245|14725|20674|101700,Lpin1|Lrp2|Sox2|Trim68,0.0,0,7,0,0,-2.032527711897519,6.9527027027027035,
1,-1.3083271099884488,GO:0051960,M1,1,0,GO Biological Processes,19,regulation of nervous system development,19_GO:0032502 developmental process,-1.3083271099884488,2.510000975704947,2.164325225817989,20580,554,74,5,6.756756756756757,2.917843321020329,14245|14725|20674|216190|396184,Lpin1|Lrp2|Sox2|Appl2|Flrt1,0.0,0,7,0,0,-2.032527711897519,6.9527027027027035,
1,-2.0189826046811494,GO:0070161,M1,1,0,GO Cellular Components,20,anchoring junction,,-2.0189826046811494,2.945169072249254,3.0535978181928174,20580,661,74,7,9.45945945945946,3.402035504924576,11548|16796|55991|73347|227485|235431|396184,Adra1b|Lasp1|Panx1|Cldn34b2|Cdh19|Coro2b|Flrt1,0.0,0,8,1,1,-2.0189826046811494,2.945169072249254,
1,-1.382445987539138,GO:0005911,M1,1,0,GO Cellular Components,20,cell-cell junction,,-1.382445987539138,2.633599508599509,2.284395123110669,20580,528,74,5,6.756756756756757,2.917843321020329,11548|55991|73347|227485|396184,Adra1b|Panx1|Cldn34b2|Cdh19|Flrt1,0.0,0,8,0,0,-2.0189826046811494,2.945169072249254,
1,-2.0130246180243336,GO:0004519,M1,1,0,GO Molecular Functions,21,endonuclease activity,,-2.0130246180243336,6.838723969871511,3.8855615176873517,20580,122,74,3,4.054054054054054,2.2926735577328072,66161|78416|330554,Pop4|Rnase6|Fan1,0.0,0,9,1,1,-2.0130246180243336,6.838723969871511,
1,-1.7311755681152265,GO:0016788,M1,1,0,GO Molecular Functions,21,"hydrolase activity, acting on ester bonds",,-1.7311755681152265,2.5819055129399957,2.6584970241609276,20580,754,74,7,9.45945945945946,3.402035504924576,11881|14245|66161|67905|78416|79560|330554,Arsb|Lpin1|Pop4|Ppm1m|Rnase6|Ublcp1|Fan1,0.0,0,9,0,0,-2.0130246180243336,6.838723969871511,
1,-1.456047725212456,GO:0004518,M1,1,0,GO Molecular Functions,21,nuclease activity,,-1.456047725212456,4.1925845443433385,2.7185900151637985,20580,199,74,3,4.054054054054054,2.2926735577328072,66161|78416|330554,Pop4|Rnase6|Fan1,0.0,0,9,0,0,-2.0130246180243336,6.838723969871511,
1,-1.4047492227453775,GO:0042578,M1,1,0,GO Molecular Functions,21,phosphoric ester hydrolase activity,,-1.4047492227453775,3.1248102034618883,2.4294005798895,20580,356,74,4,5.405405405405405,2.6286419598899315,14245|67905|79560|330554,Lpin1|Ppm1m|Ublcp1|Fan1,0.0,0,9,0,0,-2.0130246180243336,6.838723969871511,
1,-1.9474883261403582,GO:0090101,M1,1,0,GO Biological Processes,19,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0023052 signaling,-1.9474883261403582,6.467630421118794,3.7421763426927797,20580,129,74,3,4.054054054054054,2.2926735577328072,11477|14725|52662,Acvr1|Lrp2|Ldlrad4,0.0,0,10,1,1,-1.9474883261403582,6.467630421118794,
1,-1.4505768251353373,GO:0048738,M1,1,0,GO Biological Processes,19,cardiac muscle tissue development,19_GO:0032502 developmental process,-1.4505768251353373,4.171621621621622,2.7075831006878106,20580,200,74,3,4.054054054054054,2.2926735577328072,11477|11548|14725,Acvr1|Adra1b|Lrp2,0.0,0,10,0,0,-1.9474883261403582,6.467630421118794,
1,-1.3678805520394761,GO:0060562,M1,1,0,GO Biological Processes,19,epithelial tube morphogenesis,19_GO:0032502 developmental process,-1.3678805520394761,3.039432875498449,2.3648921776085907,20580,366,74,4,5.405405405405405,2.6286419598899315,11477|14725|19227|20674,Acvr1|Lrp2|Pthlh|Sox2,0.0,0,10,0,0,-1.9474883261403582,6.467630421118794,
1,-1.811686814890056,GO:1904950,M1,1,0,GO Biological Processes,19,negative regulation of establishment of protein localization,19_GO:0051179 localization,-1.811686814890056,5.753960857409133,3.4509589921687076,20580,145,74,3,4.054054054054054,2.2926735577328072,15107|19387|235431,Hadh|Rangap1|Coro2b,0.0,0,11,1,1,-1.811686814890056,5.753960857409133,
1,-1.3427743282962434,GO:1903828,M1,1,0,GO Biological Processes,19,negative regulation of protein localization,19_GO:0051179 localization,-1.3427743282962434,3.775223186987893,2.4917435799822405,20580,221,74,3,4.054054054054054,2.2926735577328072,15107|19387|235431,Hadh|Rangap1|Coro2b,0.0,0,11,0,0,-1.811686814890056,5.753960857409133,
1,-1.7162894187105586,GO:0010008,M1,1,0,GO Cellular Components,20,endosome membrane,,-1.7162894187105586,3.9170156071564515,2.973584009162109,20580,284,74,4,5.405405405405405,2.6286419598899315,22042|52348|52662|216190,Tfrc|Vps37a|Ldlrad4|Appl2,0.0,0,12,1,1,-1.7162894187105586,3.9170156071564515,
1,-1.6435054485845446,GO:0042803,M1,1,0,GO Molecular Functions,21,protein homodimerization activity,,-1.6435054485845446,2.4767897668661027,2.536008362601201,20580,786,74,7,9.45945945945946,3.402035504924576,11477|22042|27277|66646|101700|216190|333433,Acvr1|Tfrc|Golga5|Rpe|Trim68|Appl2|Gpd1l,0.0,0,13,1,1,-1.6435054485845446,2.4767897668661027,
1,-1.506923431322714,GO:1903829,M1,1,0,GO Biological Processes,19,positive regulation of protein localization,19_GO:0051179 localization,-1.506923431322714,2.8494683207797964,2.483892178582705,20580,488,74,5,6.756756756756757,2.917843321020329,14725|20909|22042|235431|333433,Lrp2|Stx4a|Tfrc|Coro2b|Gpd1l,0.0,0,14,1,1,-1.506923431322714,2.8494683207797964,
